States/UTs,Area,Children age 5 years who attended pre-primary school ,Women (age 15-49) (%),Men (age 15-49) (%),Women (age 15-49)  with 10 or more years of schooling (%),Men (age 15-49)  with 10 or more years of schooling (%)
India,Urban,18.1,83,89.6,56.3,62.1
India,Rural,12,65.9,81.5,33.7,43.7
India,Total,13.6,71.5,84.4,41,50.2
Andaman and Nicobar Islands,Urban,0,86.6,89.3,59.7,59.4
Andaman and  Nicobar Islands,Rural,33.7,85.6,94.7,47.6,47.7
Andaman and  Nicobar Islands,Total,42.6,86,92.5,52.5,52.3
Andhra Pradesh,Urban,10.2,79,86.4,51.2,59.5
Andhra Pradesh,Rural,9.8,63.8,76.3,34.3,42.5
Andhra Pradesh,Total,9.9,68.6,79.5,39.6,47.9
Arunachal Pradesh,Urban,8,84.7,92.1,55.4,64.1
Arunachal Pradesh,Rural,5.5,71.6,85.6,36.2,45
Arunachal Pradesh,Total,5.9,73.8,86.7,39.4,48.2
Assam,Urban,4.1,87.5,92.6,49,53.2
Assam,Rural,4.4,75.4,82.8,26.2,32.2
Assam,Total,4.4,77.2,84.3,29.6,35.5
Bihar,Urban,18.5,74.9,84,48,57.1
Bihar,Rural,10.5,54.5,77,25.2,38.9
Bihar,Total,11.5,57.8,78.5,28.8,42.8
Chandigarh,Urban,6.4,83.1,94.8,59.9,64.5
Chandigarh,Rural,0,-69.2,0,-30.8,0
Chandigarh,Total,6.3,83,94.8,59.6,64.5
Chhattisgarh,Urban,6.3,85.3,90.3,52.4,52.2
Chhattisgarh,Rural,4.2,71.3,86.3,32.1,38.1
Chhattisgarh,Total,4.6,74.6,87.3,36.9,41.5
Dadra and Nagar Haveli and Daman and Diu,Urban,6.2,87.7,95.4,48.6,58.8
Dadra and Nagar Haveli and  Daman and Diu,Rural,1.3,67.9,91.6,24.2,40.7
Dadra and Nagar Haveli and Daman and Diu,Total,3.7,77.3,93.4,35.8,49.4
Goa,Urban,19.5,92.6,94.9,73,75
Goa,Rural,-18.2,93.4,98.5,69.3,79.4
Goa,Total,19,93,96.3,71.5,76.6
Gujarat,Urban,8.7,86.8,95.4,47.9,56.9
Gujarat,Rural,5.8,69,87.5,23.6,36.9
Gujarat,Total,6.9,76.5,90.9,33.8,45.6
Haryana,Urban,8.1,87.4,94.5,60.1,65
